AeroDyn airfoil file.  Compatible with AeroDyn v12.5.  Circular cross section with multiple Reynolds Numbers.
Data came from Roshko, J. Fluid Mechanics, 10, 1961, pp. 345-356.
16        Number of airfoil tables in this file
 0.01   0.02   0.122  0.2    0.3    0.4    0.5    1.0    1.5    2.0    2.5    3.0    3.5    4.0    5.0   10.0    Reynolds numbers in millions
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    Stall angle (deg)
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    unused parameter
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    unused parameter
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    unused parameter
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    Zero lift angle of attack (deg)
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    Cn slope for zero lift (dimensionless)
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    Cn at stall value for positive angle of attack
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    Cn at stall value for negative angle of attack
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    Angle of attack for minimum CD (deg)
 1.11   1.20   1.20   1.17   0.90   0.54   0.31   0.38   0.46   0.53   0.57   0.61   0.64   0.67   0.70   0.70   Minimum CD value
-180.0,  0.0 1.11,  0.0 1.20,  0.0 1.20,  0.0 1.17,  0.0 0.90,  0.0 0.54,  0.0 0.31,  0.0 0.38,  0.0 0.46,  0.0 0.53,  0.0 0.57,  0.0 0.61,  0.0 0.64,  0.0 0.67,  0.0 0.7,  0.0 0.7
 180.0,  0.0 1.11,  0.0 1.20,  0.0 1.20,  0.0 1.17,  0.0 0.90,  0.0 0.54,  0.0 0.31,  0.0 0.38,  0.0 0.46,  0.0 0.53,  0.0 0.57,  0.0 0.61,  0.0 0.64,  0.0 0.67,  0.0 0.7,  0.0 0.7
