AeroDyn airfoil file.  Compatible with AeroDyn v12.5.  2*Circle+1*S818 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   0.4       0.5       1.0       1.5       2.0      Reynolds numbers in millions
  11.00     11.00     11.00     11.00     12.00     Stall angle (deg)
   0.0       0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0       0.0      unused parameter
  -4.4183   -3.5027   -3.3461   -3.1835   -4.4958   Zero Cn angle of attack (deg)
   2.3675    0.9954    1.0419    1.0951    2.3326   Cn slope for zero lift (dimensionless)
   0.6371    0.2519    0.2609    0.2711    0.6716   Cn extrapolated to value at positive stall angle of attack
  -0.3638   -0.1571   -0.1652   -0.1745   -0.3278   Cn at stall value for negative angle of attack
  -6.00     -6.00     -6.00     -6.00     -6.00     Angle of attack for minimum CD (deg)
   0.3631    0.3277    0.3744    0.4277    0.3563   Minimum CD value
-180.00   0.000 0.3468   0.000 0.3223   0.000 0.3689   0.000 0.4223   0.000 0.3567
-170.00   0.341 0.3650   0.114 0.3283   0.114 0.3750   0.114 0.4283   0.328 0.3545
-160.00   0.286 0.4174   0.095 0.3458   0.095 0.3925   0.095 0.4458   0.307 0.4071
-150.00   0.269 0.4978   0.090 0.3726   0.090 0.4193   0.090 0.4726   0.281 0.4878
-140.00   0.259 0.5965   0.086 0.4055   0.086 0.4522   0.086 0.5055   0.267 0.5869
-130.00   0.237 0.7018   0.079 0.4406   0.079 0.4873   0.079 0.5406   0.242 0.6926
-120.00   0.198 0.8011   0.066 0.4737   0.066 0.5204   0.066 0.5737   0.200 0.7925
-110.00   0.142 0.8826   0.047 0.5009   0.047 0.5475   0.047 0.6009   0.143 0.8746
-100.00   0.073 0.9366   0.024 0.5189   0.024 0.5655   0.024 0.6189   0.074 0.9293
 -90.00   0.000 0.9569   0.000 0.5256   0.000 0.5723   0.000 0.6256   0.000 0.9503
 -80.00  -0.073 0.9366  -0.024 0.5189  -0.024 0.5655  -0.024 0.6189  -0.074 0.9293
 -70.00  -0.142 0.8826  -0.047 0.5009  -0.047 0.5475  -0.047 0.6009  -0.143 0.8746
 -60.00  -0.198 0.8011  -0.066 0.4737  -0.066 0.5204  -0.066 0.5737  -0.200 0.7925
 -50.00  -0.237 0.7018  -0.079 0.4406  -0.079 0.4873  -0.079 0.5406  -0.242 0.6926
 -40.00  -0.259 0.5965  -0.086 0.4055  -0.086 0.4522  -0.086 0.5055  -0.267 0.5869
 -30.00  -0.269 0.4978  -0.090 0.3726  -0.090 0.4193  -0.090 0.4726  -0.281 0.4878
 -20.00  -0.286 0.4174  -0.095 0.3458  -0.095 0.3925  -0.095 0.4458  -0.307 0.4071
 -10.00  -0.305 0.3676  -0.102 0.3292  -0.102 0.3759  -0.102 0.4292  -0.269 0.3604
  -6.00  -0.031 0.3631  -0.010 0.3277  -0.010 0.3744  -0.010 0.4277  -0.031 0.3563
  -5.00   0.005 0.3631   0.002 0.3277   0.002 0.3744   0.002 0.4277   0.005 0.3563
  -4.00   0.041 0.3632   0.014 0.3277   0.014 0.3744   0.014 0.4277   0.041 0.3563
  -3.00   0.077 0.3632   0.026 0.3277   0.026 0.3744   0.026 0.4277   0.077 0.3564
  -2.00   0.112 0.3633   0.037 0.3278   0.037 0.3744   0.037 0.4278   0.113 0.3564
  -1.00   0.148 0.3633   0.049 0.3278   0.049 0.3744   0.049 0.4278   0.149 0.3565
   0.00   0.184 0.3634   0.061 0.3278   0.061 0.3745   0.061 0.4278   0.185 0.3565
   1.00   0.219 0.3634   0.073 0.3278   0.073 0.3745   0.073 0.4278   0.220 0.3566
