AeroDyn airfoil file.  Compatible with AeroDyn v12.5.  S818 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.5       2.0       2.5       3.0       3.5      Reynolds numbers in millions
  11.00     12.00     12.00     12.00     13.00     Stall angle (deg)
   0.0       0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0       0.0      unused parameter
  -5.2087   -5.2960   -5.2960   -5.3393   -5.4198   Zero Cn angle of attack (deg)
   6.0251    5.9409    5.9409    5.9237    5.8480   Cn slope for zero lift (dimensionless)
   1.7045    1.7934    1.7934    1.7927    1.8800   Cn extrapolated to value at positive stall angle of attack
  -0.9037   -0.7994   -0.7994   -0.8114   -0.7271   Cn at stall value for negative angle of attack
  -6.00     -6.00     -6.00     -6.00     -6.00     Angle of attack for minimum CD (deg)
   0.0092    0.0089    0.0089    0.0084    0.0082   Minimum CD value
-180.00   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100
-170.00   1.023 0.0149   0.983 0.0034   0.983 0.0034   0.999 0.0015   0.953 0.0100
-160.00   0.858 0.1722   0.922 0.1612   0.922 0.1612   0.933 0.1594   0.993 0.1481
-150.00   0.807 0.4133   0.844 0.4033   0.844 0.4033   0.851 0.4016   0.886 0.3912
-140.00   0.778 0.7095   0.801 0.7006   0.801 0.7006   0.805 0.6991   0.826 0.6899
-130.00   0.712 1.0254   0.726 1.0179   0.726 1.0179   0.728 1.0167   0.740 1.0089
-120.00   0.594 1.3233   0.601 1.3175   0.601 1.3175   0.602 1.3165   0.609 1.3105
-110.00   0.425 1.5678   0.428 1.5638   0.428 1.5638   0.428 1.5631   0.431 1.5590
-100.00   0.220 1.7299   0.221 1.7279   0.221 1.7279   0.221 1.7276   0.221 1.7255
 -90.00   0.000 1.7908   0.000 1.7908   0.000 1.7908   0.000 1.7908   0.000 1.7908
 -80.00  -0.220 1.7299  -0.221 1.7279  -0.221 1.7279  -0.221 1.7276  -0.221 1.7255
 -70.00  -0.425 1.5678  -0.428 1.5638  -0.428 1.5638  -0.428 1.5631  -0.431 1.5590
 -60.00  -0.594 1.3233  -0.601 1.3175  -0.601 1.3175  -0.602 1.3165  -0.609 1.3105
 -50.00  -0.712 1.0254  -0.726 1.0179  -0.726 1.0179  -0.728 1.0167  -0.740 1.0089
 -40.00  -0.778 0.7095  -0.801 0.7006  -0.801 0.7006  -0.805 0.6991  -0.826 0.6899
 -30.00  -0.807 0.4133  -0.844 0.4033  -0.844 0.4033  -0.851 0.4016  -0.886 0.3912
 -20.00  -0.858 0.1722  -0.922 0.1612  -0.922 0.1612  -0.933 0.1594  -0.993 0.1481
 -10.00  -0.914 0.0228  -0.808 0.0211  -0.808 0.0211  -0.820 0.0197  -0.735 0.0189
  -6.00  -0.094 0.0092  -0.093 0.0089  -0.093 0.0089  -0.090 0.0084  -0.090 0.0082
  -5.00   0.014 0.0093   0.015 0.0090   0.015 0.0090   0.018 0.0085   0.019 0.0083
  -4.00   0.122 0.0095   0.123 0.0090   0.123 0.0090   0.126 0.0085   0.127 0.0083
  -3.00   0.230 0.0096   0.231 0.0091   0.231 0.0091   0.234 0.0086   0.235 0.0084
  -2.00   0.337 0.0098   0.339 0.0093   0.339 0.0093   0.342 0.0086   0.343 0.0084
  -1.00   0.445 0.0099   0.446 0.0094   0.446 0.0094   0.449 0.0087   0.450 0.0085
   0.00   0.552 0.0101   0.554 0.0095   0.554 0.0095   0.557 0.0088   0.558 0.0086
   1.00   0.658 0.0102   0.661 0.0097   0.661 0.0097   0.664 0.0090   0.665 0.0088
   2.00   0.765 0.0105   0.767 0.0099   0.767 0.0099   0.771 0.0092   0.772 0.0090
   3.00   0.871 0.0107   0.874 0.0101   0.874 0.0101   0.877 0.0094   0.879 0.0092
   4.00   0.977 0.0110   0.980 0.0104   0.980 0.0104   0.983 0.0097   0.985 0.0095
   5.00   1.082 0.0114   1.085 0.0108   1.085 0.0108   1.089 0.0101   1.090 0.0099
