AeroDyn airfoil file.  Compatible with AeroDyn v12.5.  3*S818 + 4*S816 - Generated by M. Buhl.
Data came from Eppler data that was extended and blended by AirfoilPrep.
   5        Number of airfoil tables in this file
   1.0       2.0       3.0       4.0       5.0      Reynolds numbers in millions
  11.00     12.00     12.00     13.00     13.00     Stall angle (deg)
   0.0       0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0       0.0      unused parameter
   0.0       0.0       0.0       0.0       0.0      unused parameter
  -4.1521   -4.2932   -4.3114   -4.3291   -4.3096   Zero Cn angle of attack (deg)
   5.8497    5.6529    5.6455    5.6295    5.6589   Cn slope for zero lift (dimensionless)
   1.5470    1.6075    1.6072    1.7026    1.7096   Cn extrapolated to value at positive stall angle of attack
  -0.8308   -0.7861   -0.7912   -0.8133   -0.8188   Cn at stall value for negative angle of attack
  -3.00     -3.00     -2.00     -1.00     -3.00     Angle of attack for minimum CD (deg)
   0.0079    0.0077    0.0074    0.0072    0.0071   Minimum CD value
-180.00   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100   0.000 0.0100
-170.00   0.886 0.0225   0.869 0.0176   0.876 0.0167   0.916 0.0149   0.922 0.0145
-160.00   0.753 0.1819   0.780 0.1772   0.785 0.1765   0.839 0.1664   0.841 0.1660
-150.00   0.751 0.4264   0.767 0.4220   0.770 0.4213   0.801 0.4120   0.802 0.4117
-140.00   0.749 0.7265   0.758 0.7227   0.760 0.7221   0.779 0.7138   0.780 0.7136
-130.00   0.699 1.0465   0.705 1.0433   0.706 1.0428   0.717 1.0359   0.717 1.0357
-120.00   0.590 1.3481   0.593 1.3456   0.593 1.3452   0.599 1.3398   0.600 1.3397
-110.00   0.426 1.5953   0.427 1.5936   0.427 1.5933   0.430 1.5897   0.430 1.5895
-100.00   0.222 1.7588   0.222 1.7580   0.222 1.7578   0.223 1.7560   0.223 1.7559
 -90.00   0.000 1.8194   0.000 1.8194   0.000 1.8194   0.000 1.8194   0.000 1.8194
 -80.00  -0.222 1.7588  -0.222 1.7580  -0.222 1.7578  -0.223 1.7560  -0.223 1.7559
 -70.00  -0.426 1.5953  -0.427 1.5936  -0.427 1.5933  -0.430 1.5897  -0.430 1.5895
 -60.00  -0.590 1.3481  -0.593 1.3456  -0.593 1.3452  -0.599 1.3398  -0.600 1.3397
 -50.00  -0.699 1.0465  -0.705 1.0433  -0.706 1.0428  -0.717 1.0359  -0.717 1.0357
 -40.00  -0.749 0.7265  -0.758 0.7227  -0.760 0.7221  -0.779 0.7138  -0.780 0.7136
 -30.00  -0.751 0.4264  -0.767 0.4220  -0.770 0.4213  -0.801 0.4120  -0.802 0.4117
 -20.00  -0.753 0.1819  -0.780 0.1772  -0.785 0.1765  -0.839 0.1664  -0.841 0.1660
 -10.00  -0.839 0.0259  -0.794 0.0251  -0.799 0.0245  -0.823 0.0187  -0.828 0.0183
  -6.00  -0.215 0.0128  -0.215 0.0126  -0.214 0.0124  -0.234 0.0104  -0.237 0.0102
  -5.00  -0.101 0.0110  -0.101 0.0109  -0.099 0.0107  -0.110 0.0095  -0.112 0.0093
  -4.00   0.013 0.0093   0.014 0.0091   0.015 0.0088   0.014 0.0085   0.013 0.0084
  -3.00   0.102 0.0079   0.102 0.0077   0.104 0.0075   0.104 0.0072   0.104 0.0071
  -2.00   0.211 0.0079   0.212 0.0077   0.213 0.0074   0.213 0.0072   0.213 0.0071
  -1.00   0.320 0.0080   0.320 0.0077   0.322 0.0074   0.322 0.0072   0.322 0.0071
   0.00   0.429 0.0080   0.429 0.0078   0.431 0.0075   0.431 0.0072   0.431 0.0071
   1.00   0.536 0.0081   0.537 0.0079   0.538 0.0076   0.540 0.0074   0.540 0.0072
   2.00   0.643 0.0083   0.644 0.0081   0.645 0.0078   0.647 0.0075   0.649 0.0073
   3.00   0.749 0.0084   0.751 0.0082   0.752 0.0079   0.754 0.0076   0.755 0.0075
   4.00   0.855 0.0087   0.857 0.0084   0.858 0.0081   0.860 0.0078   0.862 0.0077
   5.00   0.960 0.0089   0.962 0.0086   0.963 0.0083   0.965 0.0081   0.967 0.0079
   6.00   1.065 0.0092   1.067 0.0089   1.068 0.0086   1.071 0.0083   1.073 0.0081
